Job_Title,Company_Name,City_State,Company_Rating,salary_Range,Post_Date
Research Data Scientist,Facebook,"Menlo Park, CA",4.6,$108K-$174K (Glassdoor Est.),24h
"Data Scientist II, Product Analytics",Livongo,"Mountain View, CA",4.7,$145K-$163K (Glassdoor Est.),3d
"Data Scientist, Medical Diagnostics",Specific Diagnostics,"Mountain View, CA",2.6,NA,13d
Data Scientist/ Data Automation Engineer,JSR Micro,"Sunnyvale, CA",3.8,$110K-$178K (Glassdoor Est.),26d
SoC Performance Modeling Engineer,"Samsung Semiconductor, Inc.","San Jose, CA",3.5,$93K-$184K (Glassdoor Est.),24h
"Lead Data Engineer, Big Data",Lucid Motors,"Newark, CA",3.9,$120K-$217K (Glassdoor Est.),25d
Temporary Marketing Data Analyst,Fenwick & West,"Mountain View, CA",4.1,$69K-$119K (Glassdoor Est.),18d
Staff Data Scientist,realtor.com,"Santa Clara, CA",2.9,$123K-$196K (Glassdoor Est.),21d
Staff SoC Performance Modeling Engineer,"Samsung Semiconductor, Inc.","San Jose, CA",3.5,$84K-$166K (Glassdoor Est.),24h
Autonomous Driving Data Engineer,Lucid Motors,"Newark, CA",3.9,$99K-$178K (Glassdoor Est.),21d
Risk Decision Scientist,PayPal,"San Jose, CA",3.9,$112K-$176K (Glassdoor Est.),5d
"Data Scientist, Assay Development",GRAIL,"Menlo Park, CA",3.7,$115K-$181K (Glassdoor Est.),17d
Director of Data Science and Analytics,BetterHelp,"Mountain View, CA",4.2,$148K-$236K (Glassdoor Est.),24h
Senior Data Engineer,First Tech Federal Credit Union,"San Jose, CA",3.3,$91K-$166K (Glassdoor Est.),14d
"Senior Business Intelligence Analyst, Service",Bloom Energy,"San Jose, CA",3.1,$71K-$138K (Glassdoor Est.),13d
Staff/Lead Data Engineer,Freedom Financial Network,"San Mateo, CA",3.4,$80K-$144K (Glassdoor Est.),10d
Sr. DATA SCIENTIST,Samsung Research America,"Mountain View, CA",3.8,$155K-$247K (Glassdoor Est.),24h
Principal Bioinformatics Scientist I,Roche,"Pleasanton, CA",4.1,$132K-$202K (Glassdoor Est.),3d
Data QA Engineer,Affinity Solutions,"San Jose, CA",3.2,$48K-$82K (Glassdoor Est.),4d
Lead Decision Scientist,PayPal,"San Jose, CA",3.9,$137K-$216K (Glassdoor Est.),2d
Staff Data Scientist,Intuit,"Mountain View, CA",4.6,$142K-$225K (Glassdoor Est.),2d
"Data Scientist, Cloud Business Operations",NetApp,"Sunnyvale, CA",3.7,$111K-$176K (Glassdoor Est.),27d
Machine Learning Research Scientist,Baidu USA,"Sunnyvale, CA",4.2,$113K-$210K (Glassdoor Est.),21d
Data Scientist,Entefy,"Palo Alto, CA",4.3,$112K-$133K (Glassdoor Est.),3d
Senior Business Intelligence Analyst,Accuracy,"Sunnyvale, CA",3.4,$86K-$167K (Glassdoor Est.),6d
SAP Materials Master Data Analyst - Temp,Mizuho OSI,"Union City, CA",3.7,$58K-$93K (Glassdoor Est.),6d
Senior or Staff Data Scientist,GRAIL,"Menlo Park, CA",3.7,$165K-$257K (Glassdoor Est.),26d
Scientist,Karius,"Redwood City, CA",2.7,NA,20d
Lead Data Scientist,PayPal,"San Jose, CA",3.9,$130K-$205K (Glassdoor Est.),5d
Sr. Scientist,Stealth Mode Startup,"Newark, CA",NA,NA,5d
Lending and Mortgage Data Analyst,Provident Credit Union,"Redwood City, CA",3.9,$46K-$82K (Glassdoor Est.),7d
Senior Data Scientist,PayPal,"San Jose, CA",3.9,$116K-$188K (Glassdoor Est.),5d
"Data Scientist, Assay Development",GRAIL,"Menlo Park, CA",3.7,$115K-$181K (Glassdoor Est.),17d
"Scientist/Machine Learning Engineer, Applied Science",Amobee,"Redwood City, CA",3.8,$83K-$139K (Glassdoor Est.),7d
Materials Scientist - Hydrogen/Tritium Effects in Materials (Experienced),Sandia National Laboratories,"Livermore, CA",3.9,$29K-$155K (Glassdoor Est.),4d
Senior Data Scientist,Earnin,"Palo Alto, CA",3.7,$131K-$207K (Glassdoor Est.),3d
Systems Modeling Engineer,Lucid Motors,"Newark, CA",3.9,$83K-$164K (Glassdoor Est.),21d
Data Scientist - Strategy,Confluent,"Mountain View, CA",4.5,$112K-$179K (Glassdoor Est.),10d
"Principal Bioinformatics Scientist II, Development",Roche,"Pleasanton, CA",4.1,$132K-$202K (Glassdoor Est.),24d
Lead Data Scientist,Strivr,"Palo Alto, CA",4.5,$111K-$178K (Glassdoor Est.),26d
Data Scientist,PayPal,"San Jose, CA",3.9,$100K-$159K (Glassdoor Est.),24h
Research Data Scientist,Facebook,"Menlo Park, CA",4.6,$108K-$174K (Glassdoor Est.),24h
Principal Data Scientist,Intuit,"Mountain View, CA",4.6,$140K-$222K (Glassdoor Est.),25d
"Data Scientist, Engineering",Google,"Mountain View, CA",4.5,$118K-$193K (Glassdoor Est.),24h
Data Scientist - Deep Learning,Verb Surgical,"Mountain View, CA",3.5,$117K-$143K (Glassdoor Est.),7d
Data Scientist - Customer Success,Zoom Video Communications,"San Jose, CA",4.7,$97K-$155K (Glassdoor Est.),6d
Search Science Data Scientist,eBay Inc.,"San Jose, CA",3.7,$103K-$168K (Glassdoor Est.),24h
Senior Software Engineer - Data Science,Caffeine,"Redwood City, CA",4,NA,10d
Data Scientist - Growth and Marketing,Confluent,"Mountain View, CA",4.5,$124K-$196K (Glassdoor Est.),19d
"Data Transformation Engineer, Medical Diagnostics",Specific Diagnostics,"Mountain View, CA",2.6,NA,13d
Senior Data Scientist,realtor.com,"Santa Clara, CA",2.9,$91K-$145K (Glassdoor Est.),24d
Data Scientist - Global Business Operations,Splunk,"San Jose, CA",4.1,$121K-$191K (Glassdoor Est.),5d
Bioinformatics Scientist 2,GRAIL,"Menlo Park, CA",3.7,$120K-$191K (Glassdoor Est.),12d
"Data Scientist, Insurance",Tesla,"Fremont, CA",3.5,$102K-$160K (Glassdoor Est.),22d
Principal Scientist Analytical Services & CMC,Intersect ENT,"Menlo Park, CA",2.7,$131K-$269K (Glassdoor Est.),6d
Machine Learning Data Scientist,Apple,"Santa Clara, CA",4.2,$115K-$183K (Glassdoor Est.),24h
"Data Scientist, Product Analytics",Facebook,"Menlo Park, CA",4.6,$119K-$188K (Glassdoor Est.),4d
New Graduate - Enterprise Data & Analytics (EDA) - Data Scientist,VMware,"Palo Alto, CA",4.2,$94K-$151K (Glassdoor Est.),19d
Staff BI and Data Engineer,Affinity Solutions,"San Jose, CA",3.2,$105K-$124K (Glassdoor Est.),12d
Sr or Principal Data Scientist,Freedom Financial Network,"San Mateo, CA",3.4,$104K-$167K (Glassdoor Est.),10d
Data Scientist,PubMatic,"Redwood City, CA",4.1,$115K-$184K (Glassdoor Est.),19d
Data Scientist (2 Year Fixed Term),Stanford University School of Medicine,"Stanford, CA",4.1,$91K-$146K (Glassdoor Est.),14d
"Analyst, CX Data Science",TriNet,"Dublin, CA",3.3,$112K-$176K (Glassdoor Est.),26d
Senior Data Analyst,Emendata,"Burlingame, CA",NA,NA,15d
Software Engineer in Big Data Infra,PayPal,"San Jose, CA",3.9,$92K-$170K (Glassdoor Est.),13d
Data Scientists,Frontend Arts,"San Jose, CA",4.5,NA,22d
Data Scientist and AI Engineer,SKT Lab,"Santa Clara, CA",NA,NA,18d
Data Scientist / Engineer,"LotusFlare, Inc.","Santa Clara, CA",4.1,NA,17d
Senior Scientist,Quantum Improvements Consulting,"San Jose, CA",5,NA,16d
"Data Scientist, Machine Learning",Next Insurance,"Palo Alto, CA",4.5,NA,6d
Sr. Manager / Principal Engineer - Big Data,Fanatics,"San Mateo, CA",3.4,$210K-$361K (Glassdoor Est.),18d
DATA Scientist,Frontend Arts,"San Jose, CA",4.5,NA,22d
Senior Finance Data Analyst,Qualys,"Foster City, CA",3.2,$81K-$142K (Glassdoor Est.),24d
Data Scientist - Business Growth,JD.com,"Mountain View, CA",3.7,$112K-$181K (Glassdoor Est.),24h
"Data Scientist, Analytics",Facebook,"Menlo Park, CA",4.6,$108K-$174K (Glassdoor Est.),21d
Machine Learning Data Scientist,Intel Corporation,"Santa Clara, CA",4.1,$115K-$181K (Glassdoor Est.),3d
Research Scientist (Machine Learning and Artificial Intelligence),Samsung Research America,"Mountain View, CA",3.8,$101K-$175K (Glassdoor Est.),4d
Data Scientist,Flexton,"Santa Clara, CA",4.1,$100K-$136K (Glassdoor Est.),5d
Research Scientist (Computational Biology),Baidu USA,"Sunnyvale, CA",4.2,$82K-$131K (Glassdoor Est.),20d
Data Scientist,ByteDance,"Mountain View, CA",3.8,$69K-$116K (Glassdoor Est.),5d
